tbl,Year,quarter,citymarketid_1,citymarketid_2,city1,city2,airportid_1,airportid_2,airport_1,airport_2,nsmiles,passengers,fare,carrier_lg,large_ms,fare_lg,carrier_low,lf_ms,fare_low,Geocoded_City1,Geocoded_City2,tbl1apk
Table1a,2022,1,30194,30615,"Dallas/Fort Worth, TX","El Paso, TX",11298,11540,DFW,ELP,562,309,205.68,AA,0.9899,205.19,AA,0.9899,205.19,,,202211129811540DFWELP
Table1a,2022,1,30194,30693,"Dallas/Fort Worth, TX","Nashville, TN",11259,10693,DAL,BNA,631,530,169.62,WN,0.9937,169.38,WN,0.9937,169.38,,,202211125910693DALBNA
Table1a,2022,1,30194,30693,"Dallas/Fort Worth, TX","Nashville, TN",11298,10693,DFW,BNA,631,619,200.31,AA,0.9682,200.26,AA,0.9682,200.26,,,202211129810693DFWBNA
Table1a,2022,1,30194,30852,"Dallas/Fort Worth, TX","Washington, DC (Metropolitan Area)",11259,10821,DAL,BWI,1217,412,184.27,WN,0.9808,183.85,WN,0.9808,183.85,,,202211125910821DALBWI
Table1a,2022,1,30194,30852,"Dallas/Fort Worth, TX","Washington, DC (Metropolitan Area)",11259,11278,DAL,DCA,1217,368,186.18,WN,0.9828,185.27,WN,0.9828,185.27,,,202211125911278DALDCA
Table1a,2022,1,30194,30852,"Dallas/Fort Worth, TX","Washington, DC (Metropolitan Area)",11259,12264,DAL,IAD,1217,11,199.76,WN,0.7921,194.00,WN,0.7921,194.00,,,202211125912264DALIAD
Table1a,2022,1,30194,30852,"Dallas/Fort Worth, TX","Washington, DC (Metropolitan Area)",11298,10821,DFW,BWI,1217,517,178.49,AA,0.6190,214.24,NK,0.3385,107.61,,,202211129810821DFWBWI
Table1a,2022,1,30194,30852,"Dallas/Fort Worth, TX","Washington, DC (Metropolitan Area)",11298,11278,DFW,DCA,1217,754,249.01,AA,0.9598,249.44,AA,0.9598,249.44,,,202211129811278DFWDCA
Table1a,2022,1,30194,30852,"Dallas/Fort Worth, TX","Washington, DC (Metropolitan Area)",11298,12264,DFW,IAD,1217,338,220.41,UA,0.5697,212.94,UA,0.5697,212.94,,,202211129812264DFWIAD
Table1a,2022,1,30194,31123,"Dallas/Fort Worth, TX","St. Louis, MO",11259,15016,DAL,STL,550,415,171.87,WN,0.9957,171.52,WN,0.9957,171.52,,,202211125915016DALSTL
Table1a,2022,1,30194,31123,"Dallas/Fort Worth, TX","St. Louis, MO",11298,15016,DFW,STL,550,376,190.95,AA,0.9775,190.52,AA,0.9775,190.52,,,202211129815016DFWSTL
Table1a,2022,1,30194,31136,"Dallas/Fort Worth, TX","Jacksonville, FL",11259,12451,DAL,JAX,918,38,232.52,WN,0.8000,212.74,WN,0.8000,212.74,,,202211125912451DALJAX
Table1a,2022,1,30194,31136,"Dallas/Fort Worth, TX","Jacksonville, FL",11298,12451,DFW,JAX,918,382,239.46,AA,0.9258,234.88,AA,0.9258,234.88,,,202211129812451DFWJAX
Table1a,2022,1,30194,31295,"Dallas/Fort Worth, TX","Detroit, MI",11259,11433,DAL,DTW,986,43,210.02,WN,0.8909,206.10,WN,0.8909,206.10,,,202211125911433DALDTW
Table1a,2022,1,30194,31295,"Dallas/Fort Worth, TX","Detroit, MI",11298,11433,DFW,DTW,986,810,236.39,DL,0.5990,241.44,AA,0.3503,239.12,,,202211129811433DFWDTW
Table1a,2022,1,30194,31423,"Dallas/Fort Worth, TX","Des Moines, IA",11259,11423,DAL,DSM,624,8,199.36,WN,1.0000,199.36,WN,1.0000,199.36,,,202211125911423DALDSM
Table1a,2022,1,30194,31423,"Dallas/Fort Worth, TX","Des Moines, IA",11298,11423,DFW,DSM,624,160,249.18,AA,0.8938,257.09,UA,0.0667,181.14,,,202211129811423DFWDSM
Table1a,2022,1,30194,31453,"Dallas/Fort Worth, TX","Houston, TX",11259,12191,DAL,HOU,247,655,155.52,WN,0.9973,155.55,WN,0.9973,155.55,,,202211125912191DALHOU
Table1a,2022,1,30194,31453,"Dallas/Fort Worth, TX","Houston, TX",11259,12266,DAL,IAH,247,158,132.79,WN,1.0000,132.79,WN,1.0000,132.79,,,202211125912266DALIAH
Table1a,2022,1,30194,31453,"Dallas/Fort Worth, TX","Houston, TX",11298,12191,DFW,HOU,247,115,162.92,AA,0.9507,162.91,AA,0.9507,162.91,,,202211129812191DFWHOU
Table1a,2022,1,30194,31453,"Dallas/Fort Worth, TX","Houston, TX",11298,12266,DFW,IAH,247,582,153.37,AA,0.5794,152.99,AA,0.5794,152.99,,,202211129812266DFWIAH
Table1a,2022,1,30194,31454,"Dallas/Fort Worth, TX","Orlando, FL",11259,13204,DAL,MCO,985,772,200.77,WN,0.9763,200.26,WN,0.9763,200.26,,,202211125913204DALMCO
Table1a,2022,1,30194,31454,"Dallas/Fort Worth, TX","Orlando, FL",11298,13204,DFW,MCO,985,1829,205.68,AA,0.6586,244.83,NK,0.2339,117.43,,,202211129813204DFWMCO
Table1a,2022,1,30194,31481,"Dallas/Fort Worth, TX","Panama City, FL",11259,11481,DAL,ECP,685,96,203.03,WN,0.9792,201.23,WN,0.9792,201.23,,,202211125911481DALECP
Table1a,2022,1,30194,31481,"Dallas/Fort Worth, TX","Panama City, FL",11298,11481,DFW,ECP,685,67,242.26,AA,0.8835,237.37,UA,0.0399,212.96,,,202211129811481DFWECP
Table1a,2022,1,30194,31650,"Dallas/Fort Worth, TX","Minneapolis/St. Paul, MN",11259,13487,DAL,MSP,853,60,179.85,WN,0.9536,173.44,WN,0.9536,173.44,,,202211125913487DALMSP
Table1a,2022,1,30194,31650,"Dallas/Fort Worth, TX","Minneapolis/St. Paul, MN",11298,13487,DFW,MSP,853,895,210.21,DL,0.5718,212.25,AA,0.4150,207.15,,,202211129813487DFWMSP
Table1a,2022,1,30194,31703,"Dallas/Fort Worth, TX","New York City, NY (Metropolitan Area)",11259,11618,DAL,EWR,1428,5,211.09,DL,1.0000,211.09,DL,1.0000,211.09,,,202211125911618DALEWR
Table1a,2022,1,30194,31703,"Dallas/Fort Worth, TX","New York City, NY (Metropolitan Area)",11259,12197,DAL,HPN,1428,1,241.53,DL,0.9231,237.18,DL,0.9231,237.18,,,202211125912197DALHPN
Table1a,2022,1,30194,31703,"Dallas/Fort Worth, TX","New York City, NY (Metropolitan Area)",11259,12391,DAL,ISP,1428,11,151.08,WN,1.0000,151.08,WN,1.0000,151.08,,,202211125912391DALISP
Table1a,2022,1,30194,31703,"Dallas/Fort Worth, TX","New York City, NY (Metropolitan Area)",11259,12478,DAL,JFK,1428,3,138.00,DL,1.0000,138.00,DL,1.0000,138.00,,,202211125912478DALJFK
